dataset,exp_name,seed,rollout_time,scores,returns,first_value,first_search_value,discount_return,prediction_error,step
hopper-medium-expert-v2,lfq_K512_zdim9,1,11,112.45913464734652,3639.7915456751994,269.3099365234375,294.2481994628906,270.5311502747204,0.023812380406286526,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,12,112.8159585308646,3651.404636965805,264.1820983886719,296.3297424316406,271.66590990199103,0.03133623274758956,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,13,113.05836429812844,3659.2939079328958,269.5992431640625,294.0852966308594,268.7599042670055,0.034062029910324115,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,14,58.113736367244194,1871.0812642090427,270.34747314453125,294.78839111328125,267.24451027434645,0.03686185500922782,492
hopper-medium-expert-v2,lfq_K512_zdim9,1,15,112.19524081333547,3631.2029300388735,263.5681457519531,297.412841796875,270.30509843821517,0.021239364949032082,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,16,112.90090641059689,3654.1693271332565,264.21734619140625,294.53619384765625,266.83151424833613,0.02744673943506627,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,17,53.6392570706547,1725.4561002292821,273.5882568359375,293.3409729003906,267.56334750208686,0.055873900069929455,452
hopper-medium-expert-v2,lfq_K512_zdim9,1,18,112.80270950395557,3650.973437805341,261.3940734863281,296.8504333496094,270.10647472106643,0.018940911072835857,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,19,112.31742746107953,3635.179582836759,269.1228332519531,296.6882019042969,267.99279779806466,0.04122198725667903,999
hopper-medium-expert-v2,lfq_K512_zdim9,1,20,111.95560755146315,3623.4038922644086,264.85479736328125,296.7310485839844,268.14331972450987,0.014866618897927182,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,1,111.71931232154486,3615.713493153452,263.999755859375,291.3330383300781,267.9572375016326,0.030120050891315867,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,2,64.70389350105552,2085.562693142048,244.97915649414062,293.8165283203125,267.739384348279,0.06452321329196449,582
hopper-medium-expert-v2,lfq_K512_zdim9,2,3,105.88077414250756,3425.6940465616526,249.15586853027344,291.29071044921875,234.01997550713023,0.034683603514909254,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,4,111.45238552713388,3607.026167627928,249.05186462402344,292.40802001953125,269.9049532975307,0.023013795602249944,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,5,55.64873289888423,1790.8559440105096,247.56695556640625,292.1337890625,233.41556182557352,0.031103809875796088,548
hopper-medium-expert-v2,lfq_K512_zdim9,2,6,111.14179197204284,3596.9176758028198,271.97296142578125,291.28509521484375,268.0702689620139,0.024989211833705904,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,7,65.26428660710197,2103.801091970565,251.06248474121094,290.51055908203125,234.35898835298167,0.06020394967162612,643
hopper-medium-expert-v2,lfq_K512_zdim9,2,8,110.45187958445229,3574.4639783075336,246.47987365722656,293.5377502441406,267.86601284250514,0.03135089707973139,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,9,39.47257640487717,1264.391234743097,247.19801330566406,292.09051513671875,229.62606945641392,0.329025359486888,410
hopper-medium-expert-v2,lfq_K512_zdim9,2,10,111.73711490768774,3616.292891191632,261.823486328125,291.038330078125,267.3333925458257,0.035969112382564804,999
hopper-medium-expert-v2,lfq_K512_zdim9,2,11,64.90757539957929,2092.1916678017005,249.7891082763672,290.81231689453125,232.730218479675,0.02972819529669479,644
hopper-medium-expert-v2,lfq_K512_zdim9,2,12,110.90928525676873,3589.350576640243,271.9798889160156,292.9085998535156,267.2211247378341,0.024458538534397282,999
